no_of_dependents,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_income_ratio,emi_proxy,emi_income_ratio,asset_total,education_ Not Graduate,self_employed_ Yes,loan_status
5,8000000,27200000,6,348,6400000,300000,16700000,7100000,3.3999999999999995,4533333.332577778,0.5666666665722222,30500000,False,True,0
5,3600000,7700000,16,830,7000000,1300000,10000000,2900000,2.1388888888888884,481249.9999699219,0.13368055554720049,21200000,False,False,1
3,1500000,5100000,6,352,100000,200000,5600000,900000,3.3999999999999977,849999.9998583333,0.5666666665722219,6800000,True,True,0
1,7800000,18100000,2,712,8600000,11200000,21700000,9000000,2.3205128205128203,9049999.995475,1.160256409676282,50500000,False,False,1
2,9100000,24900000,16,822,22300000,12100000,31000000,5200000,2.736263736263736,1556249.9999027343,0.17101648350579493,70600000,True,False,1
3,1400000,3400000,6,540,200000,1500000,3900000,800000,2.428571428571427,566666.6665722223,0.4047619046944442,6400000,False,False,0
2,800000,2300000,12,342,2200000,1300000,1800000,800000,2.8749999999999964,191666.66665069445,0.23958333331336773,6100000,False,True,0
5,6500000,13400000,18,787,18200000,300000,16200000,5400000,2.0615384615384613,744444.4444030864,0.11452991452355174,40100000,False,False,1
4,8000000,27800000,16,331,13000000,6300000,21400000,10900000,3.4749999999999996,1737499.9998914062,0.21718749998642575,51600000,False,False,0
3,4200000,14600000,6,679,2400000,6900000,8700000,4900000,3.4761904761904754,2433333.332927778,0.5793650792685184,22900000,True,True,1
1,4900000,19100000,14,677,5400000,9100000,17700000,6500000,3.8979591836734686,1364285.7141882654,0.2784256559567888,38700000,False,True,1
3,5500000,20500000,12,634,800000,8600000,18500000,8200000,3.7272727272727266,1708333.3331909722,0.3106060605801767,36100000,True,False,1
1,9500000,19100000,16,662,100000,10500000,37700000,11700000,2.0105263157894733,1193749.9999253906,0.12565789472898845,60000000,True,True,1
4,7300000,25400000,16,502,500000,1800000,20500000,10500000,3.4794520547945202,1587499.9999007813,0.21746575341106592,33300000,False,False,0
2,8700000,24700000,10,435,6800000,3500000,21800000,11300000,2.8390804597701145,2469999.9997529997,0.2839080459486206,43400000,False,False,0
5,3800000,7600000,4,689,8700000,100000,9300000,3400000,1.9999999999999996,1899999.9995249999,0.4999999998749998,21500000,True,False,1
1,8400000,23000000,12,657,15400000,14800000,31900000,8200000,2.7380952380952377,1916666.6665069445,0.22817460315558857,70300000,True,True,1
2,5100000,19700000,20,590,7400000,9300000,19400000,3400000,3.862745098039215,984999.99995075,0.1931372548923039,39500000,False,True,1
5,6700000,24500000,12,818,1200000,5600000,16300000,6200000,3.6567164179104474,2041666.6664965278,0.3047263681338101,29300000,True,False,1
2,4300000,10600000,18,431,2100000,1500000,9300000,5200000,2.465116279069767,588888.8888561728,0.13695090438515645,18100000,True,False,0
5,9300000,30500000,18,841,19300000,10300000,34600000,8700000,3.2795698924731176,1694444.4443503087,0.18219832734949554,72900000,False,True,1
1,7400000,18400000,20,421,18500000,9100000,17500000,4100000,2.486486486486486,919999.999954,0.1243243243181081,49200000,False,False,0
4,5500000,18200000,16,797,0,4900000,18600000,4800000,3.3090909090909086,1137499.9999289063,0.20681818180525566,28300000,True,True,1
2,8500000,18900000,18,478,23800000,16300000,25900000,11400000,2.2235294117647055,1049999.9999416666,0.1235294117578431,77400000,True,False,0
3,9600000,30500000,18,669,4700000,1900000,26500000,9300000,3.1770833333333326,1694444.4443503087,0.1765046296198238,42400000,True,True,1
5,8800000,28900000,6,365,24400000,8600000,27400000,4700000,3.2840909090909083,4816666.665863889,0.5473484847572601,65100000,True,True,0
3,3300000,7500000,20,586,1600000,5600000,10500000,2900000,2.272727272727272,374999.99998125,0.11363636363068177,20600000,True,True,1
4,3900000,12300000,18,784,7600000,6900000,13100000,2800000,3.1538461538461533,683333.3332953703,0.17521367520394107,30400000,False,True,1
1,4100000,10300000,12,364,9500000,6100000,14900000,2800000,2.512195121951219,858333.3332618056,0.2093495934784891,33300000,False,False,0
3,8300000,29100000,10,715,6100000,11900000,24100000,11900000,3.506024096385542,2909999.999709,0.3506024096034939,54000000,True,False,1
0,2700000,10100000,20,693,200000,1700000,5900000,1400000,3.7407407407407396,504999.99997475,0.18703703702768512,9200000,True,True,0
4,5600000,12400000,4,777,5500000,3100000,11800000,5500000,2.214285714285714,3099999.999225,0.5535714284330356,25900000,False,False,1
0,1900000,5000000,12,312,4000000,2800000,4900000,2400000,2.63157894736842,416666.6666319444,0.2192982455957601,14100000,False,False,0
4,500000,1500000,20,340,100000,200000,1900000,600000,2.9999999999999942,74999.99999625,0.14999999999249972,2800000,True,True,0
5,5300000,18600000,4,386,2700000,9700000,11900000,4200000,3.50943396226415,4649999.9988375,0.8773584903466979,28500000,False,True,1
5,7000000,18300000,4,418,18400000,11700000,21500000,7600000,2.614285714285714,4574999.99885625,0.6535714284080356,59200000,True,False,0
3,5800000,16700000,16,735,3900000,9400000,12600000,5600000,2.879310344827586,1043749.9999347656,0.1799568965404768,31500000,True,True,1
2,2600000,8400000,6,494,6500000,3800000,5600000,2000000,3.2307692307692295,1399999.9997666667,0.5384615383717947,17900000,True,False,0
2,1900000,6500000,18,671,600000,2500000,4800000,1100000,3.4210526315789456,361111.1110910494,0.19005847952160485,9000000,True,False,1
4,5700000,14800000,16,697,14300000,7800000,12900000,6300000,2.596491228070175,924999.9999421875,0.1622807017442434,41300000,False,False,1
0,9000000,33500000,8,801,11600000,8900000,35400000,11100000,3.7222222222222214,4187499.9994765623,0.4652777777196179,67000000,False,False,1
2,8500000,29400000,12,576,17600000,5600000,25200000,9000000,3.458823529411764,2449999.999795833,0.28823529409362736,57400000,True,False,1
0,700000,1400000,14,639,1900000,700000,2400000,900000,1.9999999999999971,99999.99999285715,0.14285714284693857,5900000,True,False,1
4,3500000,8900000,4,470,1300000,2200000,12300000,2000000,2.5428571428571423,2224999.99944375,0.6357142855553569,17800000,False,False,0
0,8800000,31200000,4,826,2900000,500000,33300000,8600000,3.5454545454545445,7799999.99805,0.8863636361420453,45300000,True,False,1
2,9900000,21200000,16,363,25500000,11400000,26600000,6800000,2.141414141414141,1324999.9999171875,0.13383838383001892,70300000,True,True,0
3,3600000,8600000,20,613,9400000,300000,10300000,3300000,2.3888888888888884,429999.9999785,0.1194444444384722,23300000,False,False,1
3,3000000,8200000,16,713,5300000,5800000,11000000,3400000,2.7333333333333325,512499.99996796873,0.17083333332265618,25500000,True,True,1
2,6800000,21200000,16,439,17100000,4700000,23300000,3600000,3.117647058823529,1324999.9999171875,0.19485294116429225,48700000,False,False,0
5,1100000,3800000,18,387,1300000,1200000,3800000,1600000,3.4545454545454515,211111.11109938272,0.19191919190852957,7900000,True,True,0
1,8700000,28300000,8,402,20400000,13600000,27900000,10200000,3.2528735632183903,3537499.999557812,0.4066091953514726,72100000,True,True,0
4,2000000,8000000,6,837,5100000,2600000,3900000,2900000,3.9999999999999982,1333333.333111111,0.6666666665555552,14500000,False,True,1
2,9800000,37600000,10,641,24100000,0,23400000,7600000,3.8367346938775504,3759999.999624,0.3836734693493877,55100000,True,False,1
4,5700000,21100000,18,489,500000,4300000,12500000,6000000,3.701754385964912,1172222.2221570988,0.20565302143106992,23300000,False,False,0
4,8800000,20700000,18,540,19200000,3200000,22400000,12700000,2.3522727272727266,1149999.999936111,0.13068181817455804,57500000,False,False,0
4,3800000,8900000,4,844,9100000,3500000,13100000,4700000,2.3421052631578942,2224999.99944375,0.585526315643092,30400000,False,False,1
1,1700000,6400000,10,452,900000,1100000,5600000,2100000,3.764705882352939,639999.999936,0.37647058819764684,9700000,False,False,0
2,1000000,2000000,10,366,1200000,400000,3200000,1300000,1.999999999999998,199999.99998,0.1999999999799998,6100000,False,False,0
5,300000,1100000,2,300,100000,500000,700000,400000,3.6666666666666545,549999.999725,1.8333333324166605,1700000,False,False,1
2,6600000,15000000,18,470,1200000,4800000,18200000,7000000,2.2727272727272725,833333.333287037,0.12626262625561163,31200000,False,True,0
2,8700000,25000000,20,861,14700000,8500000,23200000,7300000,2.873563218390804,1249999.9999375,0.1436781609123563,53700000,True,False,1
4,9400000,29400000,12,562,25900000,15200000,36400000,7100000,3.1276595744680846,2449999.999795833,0.2606382978506205,84600000,False,False,1
0,4400000,10800000,14,463,2400000,4800000,13800000,4700000,2.454545454545454,771428.5713734694,0.1753246753121521,25700000,False,False,0
4,400000,900000,12,478,700000,100000,1200000,100000,2.2499999999999942,74999.99999375,0.18749999998437453,2100000,True,False,0
2,300000,1100000,2,702,300000,200000,500000,200000,3.6666666666666545,549999.999725,1.8333333324166605,1200000,True,True,1
2,4300000,12900000,20,618,11400000,3600000,11400000,2400000,2.9999999999999996,644999.99996775,0.14999999999249997,28800000,True,True,1
4,1600000,4500000,12,633,700000,1700000,4100000,1900000,2.8124999999999982,374999.99996875,0.23437499998046862,8400000,False,False,1
5,6200000,23600000,10,331,18500000,10300000,23800000,8700000,3.806451612903225,2359999.999764,0.380645161252258,61300000,True,True,0
3,4200000,9700000,16,841,7800000,300000,16700000,5100000,2.309523809523809,606249.9999621094,0.1443452380862165,29900000,True,True,1
4,9000000,18100000,12,764,600000,16500000,20800000,11600000,2.0111111111111106,1508333.333207639,0.16759259257862652,49500000,True,True,1
0,2700000,10600000,6,591,1300000,2700000,9900000,1800000,3.9259259259259247,1766666.6663722221,0.6543209875452672,15700000,False,False,1
1,9700000,35900000,2,719,19600000,7600000,20400000,10900000,3.701030927835051,17949999.991025,1.8505154629922678,58500000,False,True,1
2,3300000,6800000,14,317,3400000,300000,11700000,3600000,2.06060606060606,485714.2856795918,0.14718614717563383,19000000,False,False,0
0,300000,1100000,8,778,800000,200000,900000,100000,3.6666666666666545,137499.9999828125,0.45833333327604014,2000000,True,False,1
3,7400000,18200000,14,302,5600000,3100000,17900000,5000000,2.459459459459459,1299999.999907143,0.1756756756631274,31600000,False,True,0
5,7100000,19700000,8,502,7300000,5600000,25300000,9800000,2.7746478873239435,2462499.9996921876,0.34683098587213906,48000000,True,False,0
5,7300000,22100000,18,879,19500000,10600000,19300000,9800000,3.0273972602739723,1227777.777709568,0.16818873667254353,59200000,True,True,1
1,8400000,23400000,14,437,15400000,5800000,33400000,8100000,2.785714285714285,1671428.5713091837,0.19897959182252184,62700000,True,False,0
0,3300000,10800000,12,797,600000,6000000,7700000,3300000,3.2727272727272716,899999.999925,0.2727272727045454,17600000,True,True,1
4,5800000,23200000,18,456,16100000,4200000,22600000,7500000,3.9999999999999996,1288888.888817284,0.22222222220987653,50400000,True,True,0
0,600000,1600000,6,647,1500000,600000,1500000,700000,2.666666666666662,266666.6666222222,0.4444444443703696,4300000,True,False,1
0,7200000,15800000,12,379,12700000,12200000,21500000,3600000,2.194444444444444,1316666.6665569444,0.18287037035513115,50000000,True,False,0
1,9100000,32900000,2,717,2200000,2000000,23600000,5900000,3.6153846153846145,16449999.991774999,1.807692306788461,33700000,True,True,1
5,900000,2300000,16,545,100000,200000,2700000,800000,2.5555555555555527,143749.99999101562,0.1597222222122394,3800000,False,False,0
2,800000,3200000,8,317,300000,1000000,2000000,900000,3.9999999999999947,399999.99994999997,0.49999999993749933,4200000,False,False,0
1,8500000,32900000,10,570,5100000,6200000,20500000,5500000,3.8705882352941168,3289999.999671,0.3870588234907058,37300000,True,False,1
0,9000000,18700000,18,865,26800000,0,20900000,11300000,2.0777777777777775,1038888.8888311728,0.11543209875901918,59000000,True,True,1
3,7000000,19500000,14,719,12200000,10300000,18200000,10200000,2.785714285714285,1392857.142757653,0.19897959182252184,50900000,False,False,1
3,200000,600000,16,821,400000,100000,500000,100000,2.9999999999999853,37499.99999765625,0.18749999998828032,1100000,False,False,1
4,400000,800000,10,859,900000,500000,800000,200000,1.9999999999999951,79999.999992,0.1999999999799995,2400000,True,True,1
3,5100000,18200000,10,395,100000,8000000,15500000,6300000,3.5686274509803915,1819999.999818,0.3568627450623529,29900000,True,False,0
2,700000,2600000,12,429,1600000,1300000,2700000,800000,3.7142857142857086,216666.6666486111,0.3095238094980154,6400000,True,True,0
3,400000,1200000,12,861,200000,600000,1100000,200000,2.9999999999999925,99999.99999166667,0.24999999997916605,2100000,False,False,1
0,9500000,20800000,14,565,15100000,11900000,33900000,13400000,2.189473684210526,1485714.2856081633,0.1563909774324382,74300000,True,True,1
5,8800000,22600000,10,357,7900000,8600000,18200000,4900000,2.5681818181818175,2259999.999774,0.2568181817925,39600000,False,False,0
3,1800000,3600000,18,465,600000,500000,5400000,2600000,1.999999999999999,199999.99998888889,0.11111111110493821,9100000,True,True,0
4,6800000,13900000,8,479,11700000,9100000,25700000,9600000,2.0441176470588234,1737499.9997828125,0.2555147058504136,56100000,True,True,0
3,1500000,5500000,16,717,2100000,800000,4400000,1300000,3.6666666666666643,343749.9999785156,0.2291666666523436,8600000,True,False,1
3,1600000,5500000,12,425,600000,800000,5400000,900000,3.437499999999998,458333.3332951389,0.28645833330946163,7700000,False,False,0
2,4600000,16700000,2,786,200000,5900000,13900000,6100000,3.630434782608695,8349999.995825,1.8152173903967388,26100000,True,False,1
5,2200000,6700000,6,382,4400000,1300000,8600000,1100000,3.045454545454544,1116666.6664805554,0.5075757574911614,15400000,True,True,0
3,2900000,8500000,12,564,1000000,3100000,7500000,1800000,2.9310344827586197,708333.3332743056,0.2442528735428639,13400000,True,True,1
0,200000,700000,8,501,500000,200000,700000,100000,3.4999999999999827,87499.9999890625,0.43749999994531036,1500000,False,False,0
2,2500000,9400000,10,727,6600000,4100000,9500000,3300000,3.7599999999999985,939999.999906,0.37599999996239986,23500000,True,True,1
4,3600000,7500000,6,894,1100000,6500000,7400000,2800000,2.0833333333333326,1249999.9997916666,0.3472222221643518,17800000,True,False,1
0,5500000,16700000,18,829,5500000,1300000,12800000,5900000,3.0363636363636357,927777.7777262345,0.16868686867749716,25500000,False,True,1
4,6600000,17400000,20,506,2600000,10000000,25900000,7200000,2.636363636363636,869999.9999565,0.13181818181159088,45700000,True,False,0
2,8600000,32100000,6,802,9400000,16700000,24500000,9800000,3.732558139534883,5349999.999108333,0.6220930231521317,60400000,False,True,1
5,600000,1500000,14,543,300000,900000,2100000,300000,2.4999999999999956,107142.85713520407,0.17857142855867314,3600000,True,False,0
3,1400000,3200000,20,772,2400000,900000,5100000,1600000,2.2857142857142843,159999.999992,0.11428571427999992,10000000,False,True,1
3,4000000,11100000,12,572,9700000,100000,12500000,2400000,2.7749999999999995,924999.9999229166,0.2312499999807291,24700000,False,False,1
0,4900000,11900000,16,709,14600000,900000,18500000,3800000,2.428571428571428,743749.9999535156,0.15178571427622764,37800000,True,True,1
5,2000000,6200000,18,402,4000000,2100000,7200000,1100000,3.0999999999999988,344444.44442530867,0.17222222221265426,14400000,False,False,0
1,5200000,19300000,8,481,14300000,9500000,18800000,4200000,3.711538461538461,2412499.9996984373,0.46394230763431477,46800000,True,True,0
5,8900000,28800000,6,772,13600000,5500000,20400000,8400000,3.2359550561797747,4799999.9991999995,0.5393258426067414,47900000,False,True,1
1,6500000,20600000,2,306,15900000,1900000,18100000,3200000,3.1692307692307686,10299999.99485,1.5846153838230768,39100000,False,True,1
2,1300000,4500000,6,415,0,900000,2900000,1200000,3.461538461538459,749999.999875,0.5769230768269227,5000000,True,False,0
3,9400000,35000000,16,548,18200000,4400000,36100000,4800000,3.723404255319148,2187499.9998632814,0.23271276594290222,63500000,True,False,0
5,5000000,11200000,8,701,9100000,500000,14000000,4600000,2.2399999999999998,1399999.999825,0.27999999996499997,28200000,True,False,1
2,3000000,7700000,12,890,4700000,4300000,8400000,2100000,2.566666666666666,641666.6666131944,0.21388888887106472,19500000,False,False,1
5,9900000,33300000,6,364,5300000,18700000,27800000,8300000,3.363636363636363,5549999.999075,0.5606060605126262,60100000,True,True,0
5,700000,1300000,20,704,1600000,0,2200000,600000,1.8571428571428543,64999.99999675,0.09285714285249985,4400000,False,True,1
3,4000000,10600000,10,318,1500000,5100000,8000000,4900000,2.6499999999999995,1059999.999894,0.26499999997349993,19500000,False,True,0
5,3100000,9600000,2,761,5800000,1800000,10400000,4200000,3.096774193548386,4799999.997599999,1.5483870959999992,22200000,True,False,1
4,4500000,15100000,6,693,3700000,1500000,17800000,6000000,3.3555555555555547,2516666.666247222,0.5592592591660492,29000000,True,False,1
3,9700000,20600000,16,524,24200000,11100000,27400000,6100000,2.123711340206185,1287499.9999195312,0.13273195875459082,68800000,True,False,0
2,2000000,5300000,10,681,4900000,1400000,4300000,2900000,2.6499999999999986,529999.999947,0.2649999999734998,13500000,True,True,1
2,8100000,22300000,18,737,22300000,12600000,27000000,7300000,2.753086419753086,1238888.8888200617,0.15294924553334094,69200000,False,True,1
0,5700000,15900000,16,638,100000,9500000,16300000,4500000,2.7894736842105257,993749.9999378906,0.1743421052522615,30400000,True,False,1
4,5800000,12800000,2,656,500000,5000000,16000000,2800000,2.2068965517241375,6399999.9968,1.1034482753103447,24300000,True,False,1
1,1800000,6500000,6,540,2500000,3200000,5000000,1100000,3.6111111111111094,1083333.3331527777,0.6018518517515429,11800000,False,False,0
4,9100000,35200000,6,341,1000000,300000,23100000,8200000,3.8681318681318673,5866666.665688889,0.6446886445811965,32600000,True,True,0
0,4800000,17500000,2,371,11700000,6800000,18700000,3500000,3.6458333333333326,8749999.995625,1.822916665755208,40700000,True,True,1
3,3800000,10500000,12,886,4000000,500000,14900000,2300000,2.7631578947368416,874999.9999270834,0.2302631578755482,21700000,True,True,1
0,1900000,4100000,18,801,400000,800000,4800000,1200000,2.1578947368421044,227777.77776512346,0.1198830409290123,7200000,True,False,1
3,3600000,9500000,16,748,7700000,2400000,9700000,2600000,2.6388888888888884,593749.9999628906,0.16493055554524735,22400000,True,True,1
2,7400000,28200000,8,376,21900000,5000000,17400000,5200000,3.8108108108108105,3524999.999559375,0.4763513512918074,49500000,True,True,0
4,6600000,14300000,8,371,10800000,9500000,18500000,7400000,2.1666666666666665,1787499.9997765624,0.2708333332994791,46200000,True,True,0
2,1800000,5300000,6,826,4500000,700000,6500000,1300000,2.944444444444443,883333.3331861111,0.49074074065895035,13000000,False,False,1
4,9200000,27200000,12,873,4500000,1800000,33800000,11400000,2.956521739130434,2266666.6664777775,0.24637681157367142,51500000,True,False,1
5,2400000,8600000,8,309,500000,600000,5700000,2800000,3.583333333333332,1074999.999865625,0.4479166666106769,9600000,True,True,0
4,5600000,13300000,20,869,3300000,7500000,20000000,6500000,2.3749999999999996,664999.99996675,0.11874999999406248,37300000,True,False,1
5,3800000,13900000,12,534,4700000,2900000,8200000,2800000,3.6578947368421044,1158333.3332368056,0.30482456137810665,18600000,False,False,0
3,4500000,17900000,6,787,9800000,3600000,14300000,4200000,3.977777777777777,2983333.332836111,0.662962962852469,31900000,True,True,1
0,900000,2200000,16,566,100000,700000,2000000,600000,2.4444444444444415,137499.99999140625,0.15277777776822898,3400000,False,True,1
0,2800000,9900000,8,742,4900000,1300000,6700000,1700000,3.5357142857142847,1237499.9998453124,0.44196428565904,14600000,True,False,1
2,7500000,23100000,4,824,12100000,10900000,26300000,9500000,3.0799999999999996,5774999.99855625,0.7699999998074999,58800000,True,False,1
4,1400000,3100000,14,575,3000000,2100000,4900000,1400000,2.2142857142857126,221428.5714127551,0.15816326529482497,11400000,False,False,1
2,3800000,10900000,10,766,1900000,3900000,8600000,3000000,2.8684210526315783,1089999.999891,0.2868421052344736,17400000,False,True,1
1,1700000,5000000,10,888,2900000,900000,4100000,2200000,2.9411764705882337,499999.99994999997,0.29411764702941157,10100000,True,True,1
3,9000000,30400000,6,638,16800000,11000000,26900000,9200000,3.377777777777777,5066666.665822222,0.5629629628691356,63900000,False,True,1
5,7300000,23300000,6,622,7100000,11600000,26400000,10500000,3.1917808219178077,3883333.332686111,0.531963470230974,55600000,True,True,1
1,7400000,19800000,18,458,12600000,6200000,27700000,4000000,2.6756756756756754,1099999.999938889,0.14864864864039037,50500000,True,False,0
1,9000000,28200000,16,327,1700000,2300000,24000000,11200000,3.133333333333333,1762499.9998898436,0.1958333333210937,39200000,True,False,0
0,3000000,6500000,2,612,8800000,3400000,6700000,1700000,2.166666666666666,3249999.998375,1.0833333327916663,20600000,True,False,1
1,800000,2900000,8,682,2200000,1100000,2900000,700000,3.624999999999995,362499.9999546875,0.45312499994335875,6900000,False,False,1
2,4800000,13200000,2,583,13700000,5800000,9500000,5200000,2.7499999999999996,6599999.9967,1.3749999993124997,34200000,False,False,1
5,6400000,18300000,8,697,10000000,3600000,22500000,3600000,2.8593749999999996,2287499.9997140625,0.35742187495532224,39700000,True,False,1
3,9200000,27100000,12,306,5800000,11500000,28000000,9600000,2.945652173913043,2258333.333145139,0.24547101447229766,54900000,False,False,0
4,400000,1500000,2,669,0,600000,900000,500000,3.7499999999999907,749999.9996249999,1.8749999990624953,2000000,True,True,1
2,2800000,6000000,18,816,6300000,4200000,8000000,3400000,2.1428571428571423,333333.33331481484,0.11904761904100526,21900000,True,False,1
4,8500000,28900000,20,455,15200000,5800000,22500000,9400000,3.3999999999999995,1444999.99992775,0.16999999999149998,52900000,True,True,0
3,4700000,16400000,10,318,11400000,8100000,16200000,4300000,3.489361702127659,1639999.999836,0.34893617017787226,40000000,False,True,0
4,9800000,21200000,20,355,22000000,8900000,31800000,14400000,2.1632653061224487,1059999.999947,0.10816326530071427,77100000,True,True,0
2,3800000,8900000,16,389,200000,5600000,12200000,2200000,2.3421052631578942,556249.9999652344,0.14638157893821954,20200000,True,True,0
2,500000,1500000,2,888,1500000,300000,1500000,600000,2.9999999999999942,749999.9996249999,1.4999999992499968,3900000,False,False,1
2,6900000,15600000,6,352,13000000,5300000,22600000,10000000,2.260869565217391,2599999.999566667,0.3768115941400966,50900000,False,True,0
4,9600000,30100000,12,870,300000,6700000,38200000,5600000,3.135416666666666,2508333.3331243056,0.26128472220044846,50800000,True,True,1
3,2900000,6500000,18,827,8300000,600000,10400000,3200000,2.241379310344827,361111.1110910494,0.12452107279001699,22500000,True,False,1
2,9800000,20900000,12,768,3400000,10200000,38600000,13400000,2.1326530612244894,1741666.6665215278,0.17772108842056403,65600000,False,False,1
0,7100000,15400000,18,707,10300000,10800000,19600000,5800000,2.169014084507042,855555.5555080246,0.12050078246591894,46500000,False,False,1
1,7700000,19100000,10,355,11300000,4900000,21900000,6600000,2.4805194805194803,1909999.999809,0.2480519480271428,44700000,True,True,0
3,1400000,3300000,2,652,100000,2100000,3500000,1900000,2.3571428571428554,1649999.999175,1.178571427982142,7600000,False,False,1
3,7800000,15900000,2,665,14400000,900000,27200000,5400000,2.0384615384615383,7949999.996025,1.0192307687211537,47900000,False,False,1
5,1700000,6000000,18,420,500000,1600000,3700000,2300000,3.5294117647058805,333333.33331481484,0.19607843136165568,8100000,True,True,0
